INFO:root:Program started
INFO:root:Setting up the robot!
INFO:root:Odometry was started, PID: 20508:
INFO:root:Initial location: 0.0, 0.0, 0.0
INFO:root:The blob's size is: 22.474794387817383
INFO:root:Found the ball! Approaching...
INFO:root:The blob's size is: 21.891786575317383
INFO:root:The blob's size is: 22.57929229736328
INFO:root:The blob's size is: 23.949525833129883
INFO:root:The blob's size is: 25.455705642700195
INFO:root:The blob's size is: 27.363616943359375
INFO:root:The blob's size is: 29.1427001953125
INFO:root:The blob's size is: 31.072656631469727
INFO:root:The blob's size is: 33.63130187988281
INFO:root:The blob's size is: 37.220069885253906
INFO:root:The blob's size is: 41.68551254272461
INFO:root:The blob's size is: 45.90956497192383
INFO:root:The blob's size is: 52.375362396240234
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 62.696510314941406
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 74.0772705078125
INFO:root:The blob's size is: 82.48287963867188
INFO:root:The blob's size is: 104.02754211425781
INFO:root:The blob's size is: 130.8468780517578
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 121.04631042480469
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 24.450891494750977
INFO:root:The blob's size is: 22.635950088500977
INFO:root:The blob's size is: 25.88519859313965
INFO:root:The blob's size is: 133.07945251464844
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 59.592002868652344
INFO:root:The blob's size is: 87.18206024169922
INFO:root:The blob's size is: 121.75428771972656
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 125.182373046875
INFO:root:The blob's size is: 75.39401245117188
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 52.84757614135742
INFO:root:The blob's size is: 47.730194091796875
INFO:root:The blob's size is: 42.83390808105469
INFO:root:The blob's size is: 40.47916793823242
INFO:root:The blob's size is: 35.78429412841797
INFO:root:The blob's size is: 40.07469177246094
INFO:root:The blob's size is: 47.403141021728516
INFO:root:The blob's size is: 53.3633918762207
INFO:root:The blob's size is: 52.668846130371094
INFO:root:The blob's size is: 56.198890686035156
INFO:root:The blob's size is: 71.46871948242188
INFO:root:The blob's size is: 89.24018096923828
INFO:root:The blob's size is: 113.86610412597656
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 131.56629943847656
INFO:root:The blob's size is: 114.8025131225586
INFO:root:The blob's size is: 111.15597534179688
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:Lost the ball! Searching again...
WARNING:root:A keyboard interruption was detected!
WARNING:root:Abruptly stopped the robot!
INFO:root:Odometry was stopped
